trip_id,stop_id,stop_sequence,delay,category,operator
9595809427201752564,8001415,3,60,RB,8006C4
9595809427201752564,8001415,3,60,RB,8006C4
9595809427201752564,8003398,4,60,RB,8006C4
9595809427201752564,8003398,4,0,RB,8006C4
9595809427201752564,8001771,5,60,RB,8006C4
9595809427201752564,8001771,5,60,RB,8006C4
9595809427201752564,8005836,6,0,RB,8006C4
9595809427201752564,8005836,6,60,RB,8006C4
9595809427201752564,8003374,7,0,RB,8006C4
9595809427201752564,8003374,7,60,RB,8006C4
9595809427201752564,8005090,8,0,RB,8006C4
9595809427201752564,8005090,8,60,RB,8006C4
9595809427201752564,8003233,9,60,RB,8006C4
9595809427201752564,8003233,9,0,RB,8006C4
9595809427201752564,8002763,10,60,RB,8006C4
9595809427201752564,8002763,10,0,RB,8006C4
9595809427201752564,8005101,11,60,RB,8006C4
9595809427201752564,8005101,11,0,RB,8006C4
9595809427201752564,8004683,12,0,RB,8006C4
9595809427201752564,8004683,12,60,RB,8006C4
9595809427201752564,8003494,13,60,RB,8006C4
9595809427201752564,8003494,13,60,RB,8006C4
9595809427201752564,8002123,14,60,RB,8006C4
9595809427201752564,8002123,14,60,RB,8006C4
9595809427201752564,8000290,15,0,RB,8006C4
9596344496648330886,8003400,1,0,S,850065
9605877703007331021,8000107,14,240,S,8006C6
9605877703007331021,8000107,14,0,S,8006C6
9605877703007331021,8002068,16,0,S,8006C6
9605877703007331021,8002068,16,0,S,8006C6
9605877703007331021,8003293,17,0,S,8006C6
9605877703007331021,8003293,17,0,S,8006C6
9605877703007331021,8002848,19,0,S,8006C6
9605877703007331021,8002848,19,0,S,8006C6
9605877703007331021,8005876,20,0,S,8006C6
9627582353006250945,8003729,5,0,SBB,L721
9627582353006250945,8003729,5,60,SBB,L721
9627582353006250945,8006272,12,0,SBB,L721
9628492256069948708,8077774,1,0,HzL,R7
9628541004855651011,8007006,1,0,SWE,S6
9628541004855651011,8007015,2,0,SWE,S6
9628541004855651011,8007015,2,0,SWE,S6
9628541004855651011,8007005,3,0,SWE,S6
9628541004855651011,8007005,3,0,SWE,S6
9628541004855651011,8077004,4,0,SWE,S6
9628541004855651011,8077004,4,0,SWE,S6
9628541004855651011,8007004,5,0,SWE,S6
9628541004855651011,8007004,5,0,SWE,S6
9628541004855651011,8007003,6,0,SWE,S6
9628541004855651011,8007003,6,0,SWE,S6
9628541004855651011,8007002,7,0,SWE,S6
9628541004855651011,8007002,7,0,SWE,S6
9628541004855651011,8007001,8,0,SWE,S6
9628541004855651011,8007001,8,0,SWE,S6
9628541004855651011,8000412,9,0,SWE,S6
9628873248692793731,8000412,23,0,S,A6S4
9632202273750911274,8083368,25,0,S,8003S
9632202273750911274,8083368,25,0,S,8003S
9664570684859832182,8000366,1,120,RE,800693
9664570684859832182,8000077,2,180,RE,800693
9664570684859832182,8000077,2,180,RE,800693
9664570684859832182,8002214,3,180,RE,800693
9664570684859832182,8002214,3,180,RE,800693
9664570684859832182,8000182,4,240,RE,800693
9664570684859832182,8000182,4,240,RE,800693
9664570684859832182,8000163,5,240,RE,800693
9664570684859832182,8000163,5,540,RE,800693
9664570684859832182,8004111,6,480,RE,800693
9664570684859832182,8004111,6,540,RE,800693
9664570684859832182,8002096,7,480,RE,800693
9664570684859832182,8002096,7,240,RE,800693
9667199699351245151,8000107,1,0,RB,8006C4
9667199699351245151,8002069,2,0,RB,8006C4
9667199699351245151,8002069,2,0,RB,8006C4
9667199699351245151,8001643,3,120,RB,8006C4
9667199699351245151,8001643,3,120,RB,8006C4
9667199699351245151,8005317,4,180,RB,8006C4
9667199699351245151,8005317,4,180,RB,8006C4
9667199699351245151,8004464,5,180,RB,8006C4
9667199699351245151,8004464,5,120,RB,8006C4
9667199699351245151,8000718,6,120,RB,8006C4
9667199699351245151,8000718,6,60,RB,8006C4
9667199699351245151,8002727,7,120,RB,8006C4
9667199699351245151,8002727,7,120,RB,8006C4
9667199699351245151,8001262,8,120,RB,8006C4
9667199699351245151,8001262,8,60,RB,8006C4
9667199699351245151,8004124,9,180,RB,8006C4
9667199699351245151,8004124,9,120,RB,8006C4
9667199699351245151,8000657,10,120,RB,8006C4
9667199699351245151,8000657,10,180,RB,8006C4
9667199699351245151,8005364,11,120,RB,8006C4
9667199699351245151,8005364,11,180,RB,8006C4
9667199699351245151,8000864,12,180,RB,8006C4
9667199699351245151,8000864,12,120,RB,8006C4
9667199699351245151,8005068,13,120,RB,8006C4
9667199699351245151,8005068,13,120,RB,8006C4
9667199699351245151,8003325,14,120,RB,8006C4
9667199699351245151,8003325,14,120,RB,8006C4
9667199699351245151,8003098,15,120,RB,8006C4
9667199699351245151,8003098,15,120,RB,8006C4
9667199699351245151,8001671,16,120,RB,8006C4
9667199699351245151,8001671,16,120,RB,8006C4
9667199699351245151,8001715,17,60,RB,8006C4
9667199699351245151,8001715,17,60,RB,8006C4
9667199699351245151,8002546,18,60,RB,8006C4
9667199699351245151,8002546,18,120,RB,8006C4
9667199699351245151,8006272,19,60,RB,8006C4
9667199699351245151,8006272,19,60,RB,8006C4
9673459928130270180,8003001,1,0,SWE,S6
9673459928130270180,8002480,2,60,SWE,S6
9673459928130270180,8002480,2,0,SWE,S6
9673459928130270180,8000333,3,60,SWE,S6
9696460312754808754,8003400,1,0,S,850065
9697582647897424417,8007006,1,0,SWE,S6
9697582647897424417,8007015,2,0,SWE,S6
9697582647897424417,8007015,2,0,SWE,S6
